稅則號	合併品名清單
6306.12.00.00-5	遮雨棚
6307.10.00.00-6	不織布;吸水抹布;抹布;紙巾;菜瓜布
6307.90.50.39-3	口罩
6307.90.90.10-8	鞋套
6308.00.00.00-7	毯子
6402.99.90.32-7	一字拖鞋;厚底拖鞋;安全鞋;室內拖鞋;居家拖鞋;拖鞋;運動拖鞋;運動鞋;鞋子
6406.10.00.90-7	鞋配件
6406.90.29.00-6	綁帶
6406.90.39.00-4	鞋墊;鞋撐
6506.99.90.90-1	帽子;遮陽帽;防曬帽
6601.10.00.00-9	陽傘
6601.91.00.00-1	傘
6601.99.00.00-3	雨傘
6704.90.00.00-8	假睫毛;假髮
6913.10.00.90-3	家用擺飾品
7013.10.00.00-9	茶壺
7013.49.00.00-4	玻璃瓶;茶杯
7013.99.40.00-5	花瓶;花盆
7020.00.99.90-5	玻璃製品;茶具;茶壺
7117.11.00.00-3	扣子
7117.19.00.00-5	塑膠模型;塑膠製品;家具零件配件;布製飾品;戒指;扇子;手環;手鍊;手鏈;扣子;文具用品;服飾配件;筆記本;耳環;耳飾;衛浴芳香用品;裝飾品;項鍊;飾品
7312.10.90.19-7	CABLE;五金零件
7317.00.20.00-0	五金零件
7318.19.00.00-2	鐵片
7320.90.00.00-0	彈簧
7321.12.00.00-4	烘培用品;烘焙模具;鍋子配件;鍋配件;鏡片
7321.89.90.00-3	家用器具
7410.11.10.00-5	銅材
7616.99.50.00-3	五金配件;手工具;網子
7616.99.90.00-5	塑膠製品
8112.99.90.00-2	五金配件
8201.90.00.00-2	園藝工具;園藝用品
8205.51.10.00-3	攪拌器
8205.59.10.00-5	磨刀石
8205.59.90.40-0	切割器;切割機配件
8205.59.90.90-9	五金工具箱;五金用具;五金用品;美容用具
8207.90.10.00-4	五金工具;五金用品;圍欄;工具箱;手工具配件;研磨機配件
8211.92.90.00-9	刀具
8211.94.90.00-7	刀片;剃鬚刀
8213.00.90.00-8	剪刀
8214.20.00.00-2	修指用品;美甲剪;美甲用具
8215.99.00.00-7	五金用具;勺子;烘焙器具;烘焙用品
8301.20.00.00-6	五金零件
8301.30.00.00-4	五金零件;鎖配件
8302.49.00.00-2	SPORT PARTS;SPORT.PARTS;SPORTPARTS;五金零件;圖片;支架;架子;樂器;濾心;籠子;網子;自拍器架;衛浴用品;衛浴設備;衛浴配件;褲子;鐵架
8306.21.00.00-0	工藝品
8306.30.10.00-7	畫框;相框
8308.90.10.00-2	鑰匙
8413.20.00.00-1	泵配件
8414.10.90.00-3	ELEC.PARTS;加濕器配件
8414.90.90.00-6	風扇配件
8421.22.00.00-9	飲水機配件
8421.23.90.00-9	機油
8421.99.10.00-5	濾芯
8423.81.10.90-4	秤
8452.90.90.00-9	紡織機配件;縫紉機配件
